twitter_id_from,twitter_id_to,score,label
63169388,432676344,2.0657866,1.0
818713465653051392,162069635,1.8490443,1.0
975200486,816652616625168388,-0.7179366,1.0
2930635215,18061669,0.9702112,1.0
33563161,19318314,2.3954515,1.0
38254095,250188760,1.6716254,1.0
2966758114,1051446626,2.6024194,1.0
3686482216,742735530287304704,-1.0578877,1.0
63169388,109071031,1.3000853,1.0
30043495,235217558,-0.5424583,1.0
17896154,234812598,0.13566476,1.0
1089334250,1074412920,0.59079975,1.0
1065995022,29450962,-0.7773691,1.0
1074518754,171598736,-0.17587435,1.0
19407835,235190657,0.6179219,1.0
168502762,815733290955112448,4.0438533,1.0
237814920,164007407,-0.7868283,1.0
28599820,140519774,3.7874823,1.0
312134473,92186819,2.617569,1.0
1055907624,29501253,1.6941528,1.0
821763194372943872,72198806,-0.42006552,1.0
818713465653051392,1072467470,3.4162521,1.0
2433737761,2968451607,0.50035256,1.0
63169388,24745957,3.0739791,1.0
2962891515,15856366,-1.788892,1.0
33977070,15394954,2.934579,1.0
1045110018,776664410,2.5848634,1.0
821763194372943872,17494010,-0.5779464,1.0
278145569,15428227,2.4039714,1.0
242376736,33977070,0.15565574,1.0
76649729,2863210809,-0.7837168,1.0
926446070812602371,33576489,1.5206704,1.0
36686040,23600262,1.6521454,1.0
155669457,242836537,1.3295944,1.0
818713465653051392,1074129612,4.32051,1.0
806906355214852096,2968451607,4.1872954,1.0
1060370282,225921757,0.51464266,1.0
518644221,742735530287304704,-0.7640671,1.0
1055730738,581141508,5.427111,1.0
829782369670410240,818910970567344128,-1.0802491,1.0
1058460818,161791703,-2.9311879,1.0
233842454,1092979962,3.4697227,1.0
242376736,219429281,0.14631039,1.0
85396297,252249233,0.98284143,1.0
516880804,2968007206,1.4364655,1.0
161743731,84119348,-1.5389252,1.0
776664410,18915145,3.7040687,1.0
816683274076614656,1058520120,-0.66571146,1.0
92186819,258900199,1.3652585,1.0
33977070,815952318487298048,0.60694677,1.0
776664410,11651202,1.7059791,1.0
382791093,842072478834909184,-0.3800331,1.0
161411080,467823431,3.9346066,1.0
19726613,18695134,-1.0599935,1.0
110545675,988573326376427520,0.28977305,1.0
18915145,935148134505828353,0.4116854,1.0
235190657,161743731,0.2837276,1.0
88806753,33563161,2.487657,1.0
305620929,20467163,1.5128615,1.0
2955485182,15745368,-0.18760234,1.0
1077121945,109287731,1.2912319,1.0
11651202,1060370282,0.3465299,1.0
264219447,21111098,-0.8549,1.0
811986281177772032,2975091705,1.7178206,1.0
2916086925,30216513,1.761971,1.0
30043495,15745368,-0.20014274,1.0
2853309155,2861616083,0.121273816,1.0
1444015610,613725908,1.624049,1.0
26778110,236511574,1.4319677,1.0
17800215,15600527,2.3219044,1.0
163570705,1068499286,2.060905,1.0
1289319271,110545675,-0.3388067,1.0
309070309,133832049,2.4888663,1.0
15751083,818910970567344128,1.4323585,1.0
235190657,2847221717,0.3149653,1.0
2371339658,15361570,1.3219376,1.0
26778110,1260172386,-0.015734494,1.0
236511574,76649729,-1.2460643,1.0
818713465653051392,432771620,2.6831348,1.0
1065995022,15856366,1.2841935,1.0
24913074,31611298,2.303627,1.0
854715071116849157,88784440,0.8834297,1.0
816157667882373120,80612021,1.2731416,1.0
138770045,133832049,3.5958824,1.0
381152398,950328072,1.3279588,1.0
33563161,24745957,2.3336942,1.0
15600527,2953974395,3.894114,1.0
24195214,161791703,5.310401,1.0
234128524,38978018,-3.9783573,1.0
15751083,970207298,-2.2454417,1.0
22055226,18166778,1.4011719,1.0
262192574,225921757,-1.8038983,1.0
3122099613,221792092,3.6469984,1.0
14135426,153486399,3.1395507,1.0
515822213,15324851,-0.46942216,1.0
236279233,432771620,0.9475849,1.0
242873057,202206694,0.48824924,1.0
1092979962,25781141,4.1383576,1.0
4797361833,939091,0.078793705,1.0
2433737761,1074129612,0.6972287,1.0
1209417007,229197216,1.7777328,1.0
1615463502,939091,0.021465242,1.0
234022257,935368364,1.1535478,1.0
1080509366,3018670151,1.6076093,1.0
1209417007,28599820,-0.40561157,1.0
24745957,17494010,2.0022483,1.0
1096059529,827258161841135623,-0.41230667,1.0
109071031,168502762,1.6502948,1.0
163570705,236511574,0.32703573,1.0
2962868158,409486555,2.7823563,1.0
2914515430,1209417007,2.180001,1.0
26778110,27676828,2.4066358,1.0
946549322,236511574,-0.2490322,1.0
14275291,818948638890217473,-1.1541606,1.0
1249982359,76649729,-0.86059946,1.0
22669526,23600262,1.9641438,1.0
823552974253342721,1037321378,1.5132897,1.0
343171266,242376736,-1.8385484,1.0
2696643955,15394954,1.8678131,1.0
163570705,25781141,2.0526705,1.0
33537967,242836537,0.3729027,1.0
69086398,19394188,-0.76086843,1.0
811313565760163844,117501995,-0.09463203,1.0
880480631108644864,18030431,0.8989336,1.0
80612021,221792092,4.0869026,1.0
299883942,237862972,1.3657527,1.0
2253968388,486694111,-0.72610337,1.0
90639372,970207298,3.1862564,1.0
58928690,117501995,0.9224636,1.0
13218102,382791093,0.7186641,1.0
78403308,11651202,-0.40178898,1.0
221792092,80612021,3.8719978,1.0
55677432,217543151,0.7218277,1.0
460376288,2853309155,-4.54851,1.0
960962340,1089334250,0.7689957,1.0
15600527,58928690,-0.036309183,1.0
85396297,163570705,1.1345177,1.0
1339931490,33563161,2.2605214,1.0
258900199,31801993,3.145117,1.0
2863006655,18566912,-3.092918,1.0
17494010,1058520120,0.61998147,1.0
2724095695,172858784,0.78028816,1.0
305620929,237299871,0.8394647,1.0
161791703,153944899,2.441969,1.0
827258161841135623,828613457020870657,-0.51664996,1.0
155669457,15007149,1.4367867,1.0
815733290955112448,63169388,3.923602,1.0
1077121945,828977216595849216,-3.2135239,1.0
25086658,5558312,-0.74472207,1.0
1068499286,1058717720,2.5853882,1.0
63169388,30354991,2.238528,1.0
2750127259,1074129612,-0.069969356,1.0
211420609,1089334250,0.95446914,1.0
88806753,15324851,2.3995144,1.0
381152398,1222257180,3.3930712,1.0
823552974253342721,2916086925,1.4167781,1.0
199325935,50452197,2.286567,1.0
818460870573441028,1849261916,0.2476722,1.0
33537967,18967498,0.48886544,1.0
22669526,19318314,2.762189,1.0
236511574,486694111,-0.7028295,1.0
15600527,18909919,0.78334767,1.0
15751083,114388293,-1.5977632,1.0
2933760046,2929491549,-0.11057156,1.0
117501995,293131808,0.46107227,1.0
1077446982,18906561,0.06352562,1.0
82453460,814179031956488192,0.6047055,1.0
467823431,15808765,3.748375,1.0
237814920,26051676,0.8713028,1.0
1069124515,28599820,-0.6015973,1.0
305620929,314205957,-0.15905625,1.0
381152398,88806753,3.5276031,1.0
29450962,72198806,1.35428,1.0
13491312,18566912,-1.7129083,1.0
18805303,15751083,0.9701149,1.0
584012853,237348797,1.77562,1.0
23124635,851621377,-2.1102986,1.0
756123897783808000,216776631,-0.8218735,1.0
1058460818,817138492614524928,-0.960988,1.0
815966620300480514,234022257,0.49897307,1.0
23201727,442824717,-1.3482187,1.0
1305596696,26051676,-0.068553686,1.0
1051127714,85396297,0.73109716,1.0
806906355214852096,942156122,4.580238,1.0
880480631108644864,1071900114,0.15037954,1.0
249410485,138770045,1.8559906,1.0
819744763020775425,10615232,1.0831068,1.0
110545675,18566912,2.1070971,1.0
234022257,15428227,1.6323171,1.0
968650362,988573326376427520,-1.5071797,1.0
234469322,4749863113,-7.639114,1.0
161791703,16256269,-0.65777,1.0
1058256326,26051676,0.22316569,1.0
140519774,1058917562,1.3164041,1.0
13491312,216881337,0.70945925,1.0
26778110,814103950404239360,0.38627607,1.0
950328072,14135426,0.10224563,1.0
20467163,278145569,1.4478083,1.0
23976316,55677432,1.3168237,1.0
818713465653051392,25086658,-0.6275012,1.0
234822928,296245061,0.46034914,1.0
41417564,252819323,-2.126775,1.0
3609064098,1074101017,0.6033247,1.0
3122099613,364415553,1.612993,1.0
1068481578,216881337,-0.46744484,1.0
235373000,1051127714,1.9667501,1.0
2955485182,242555999,-1.6719952,1.0
161791703,18967498,1.7723761,1.0
235312723,211420609,2.0606833,1.0
17494010,171598736,-0.31689766,1.0
817076257770835968,818713465653051392,1.4744234,1.0
818460870573441028,1077446982,1.2018898,1.0
26778110,15394954,2.8724604,1.0
140519774,817076257770835968,2.9950986,1.0
109287731,153944899,-0.21263498,1.0
50452197,25781141,2.1924317,1.0
1069124515,2964526557,0.74803513,1.0
2929491549,815952318487298048,0.6702629,1.0
293131808,18916432,-0.22248268,1.0
309070309,248735463,3.1696076,1.0
2970462034,442824717,1.9225187,1.0
76452765,21111098,0.66726834,1.0
2965083477,234469322,2.199666,1.0
2970462034,432676344,2.67273,1.0
248495200,15745368,-0.5489785,1.0
236511574,970207298,0.24119234,1.0
229197216,818910970567344128,1.8585844,1.0
2970462034,1060370282,0.080978215,1.0
2965083477,2382685057,0.64605314,1.0
912608010,212262370,-0.7657362,1.0
88806753,210926192,2.8864777,1.0
18915145,2382685057,0.8453408,1.0
153486399,467823431,3.324945,1.0
1055685948,240427862,-0.699006,1.0
2863006655,555474658,-0.95446455,1.0
1410590874,233693291,-0.6742802,1.0
2750127259,1058051748,1.8672318,1.0
1541518434,20113797,-3.022956,1.0
442824717,1071840474,-1.2187836,1.0
234469322,2966758114,2.287195,1.0
