twitter_id_from,twitter_id_to,score,label
74198348,816652616625168388,-2.1300485,1.0
1055685948,80612021,-2.1242056,1.0
309070309,248735463,-2.1766288,1.0
584012853,14275291,-2.1354325,1.0
851621377,234022257,-2.136762,1.0
303633791,1222257180,-2.1799355,1.0
1065995022,18632666,-2.1538782,1.0
816652616625168388,237763317,-2.1527967,1.0
2968451607,14135426,-2.1272137,1.0
1058717720,815733290955112448,-2.118693,1.0
162069635,138770045,-2.1117086,1.0
1058917562,2930635215,-2.0990252,1.0
293131808,109287731,-2.1224551,1.0
462143773,787373558,-2.1465077,1.0
20053279,1058256326,-2.1382473,1.0
231108733,1058520120,-2.1417334,1.0
742735530287304704,842072478834909184,-2.1621523,1.0
1060487274,17976923,-2.1763666,1.0
15856366,37094727,-2.1457796,1.0
234763384,813286,-2.1498866,1.0
25086658,278145569,-2.1670103,1.0
1092979962,267854863,-2.1166143,1.0
231108733,806906355214852096,-2.1503093,1.0
516880804,813286,-2.0927553,1.0
2853309155,18916432,-2.1489127,1.0
2964526557,17976923,-2.1959615,1.0
1058717720,14984637,-2.0765233,1.0
240760644,237814920,-2.1073127,1.0
1072467470,828977216595849216,-2.0849605,1.0
823552974253342721,2962868158,-2.117308,1.0
1260172386,432771620,-2.1165895,1.0
242426145,21406834,-2.1158001,1.0
993153006,219429281,-2.120863,1.0
823552974253342721,305216911,-2.115073,1.0
1058917562,137794015,-2.1142375,1.0
240760644,15745368,-2.1049783,1.0
796736612554117120,19394188,-2.085462,1.0
20053279,24735461,-2.1319156,1.0
2862577383,233842454,-2.1458642,1.0
1069124515,842072478834909184,-2.1583388,1.0
88806753,2962868158,-2.119782,1.0
314205957,3353670647,-2.131425,1.0
36948268,1339931490,-2.1168294,1.0
242555999,29450962,-2.1271718,1.0
18695134,432895323,-2.0860612,1.0
231510077,163570705,-2.0853992,1.0
24195214,364415553,-2.1474454,1.0
29766367,219429281,-2.1522703,1.0
818975124460335106,816111677917851649,-2.1348858,1.0
247334603,1410590874,-2.124612,1.0
1092979962,210926192,-2.0865102,1.0
1060487274,52503751,-2.148491,1.0
231510077,584912320,-2.08616,1.0
190328374,1849261916,-2.1679175,1.0
2863210809,486694111,-2.1420817,1.0
1051446626,258900199,-2.185659,1.0
140519774,305216911,-2.129673,1.0
1480852568,225921757,-2.159897,1.0
816652616625168388,22055226,-2.1213007,1.0
2929491549,19926675,-2.1898208,1.0
2929491549,2861616083,-2.145735,1.0
2253968388,2963445730,-2.122518,1.0
219429281,73303753,-2.1225004,1.0
15856366,18916432,-2.1782873,1.0
233693291,237348797,-2.1466365,1.0
2914515430,234022257,-2.1384132,1.0
815966620300480514,233737858,-2.1190686,1.0
816111677917851649,22545491,-2.1438966,1.0
584012853,968650362,-2.1652706,1.0
23970171,842072478834909184,-2.1428452,1.0
19682187,19682187,-2.109427,1.0
2968007206,364415553,-2.1381671,1.0
2966205003,1480852568,-2.1446342,1.0
14135426,24195214,-2.1225612,1.0
995193054,1074518754,-2.0836334,1.0
404132211,199325935,-2.111395,1.0
1058520120,193732179,-2.1342661,1.0
258900199,1045110018,-2.1013339,1.0
15428227,237750442,-2.1784847,1.0
1055685948,946549322,-2.117893,1.0
295685416,233693291,-2.1599355,1.0
814179031956488192,78445977,-2.1011794,1.0
811313565760163844,278124059,-2.088375,1.0
23124635,21269970,-2.1656523,1.0
818472418620608512,1074129612,-2.1313496,1.0
242555999,486694111,-2.106011,1.0
18967498,37920978,-2.1054227,1.0
1249982359,25073877,-2.1123993,1.0
37920978,1060487274,-2.1428263,1.0
18166778,88784440,-2.1514971,1.0
2930635215,56864092,-2.127618,1.0
19936673,19936673,-2.124075,1.0
90639372,816282029276938240,-2.0941613,1.0
233949261,23976316,-2.138332,1.0
74198348,2966205003,-2.1625605,1.0
817076257770835968,28602948,-2.1216009,1.0
1060984272,58928690,-2.1078465,1.0
817076257770835968,1074129612,-2.1083562,1.0
20552026,85396297,-2.1072204,1.0
24745957,24913074,-2.1256392,1.0
1096059529,968650362,-2.168506,1.0
231510077,258900199,-2.144063,1.0
7429102,18061669,-2.1203933,1.0
816298918468259841,29201047,-2.1038148,1.0
1260172386,137794015,-2.1159854,1.0
1060487274,935033864,-2.1507456,1.0
1060487274,1209417007,-2.1746025,1.0
462143773,2863006655,-2.1253211,1.0
312134473,1260172386,-2.135385,1.0
7429102,939091,-2.0879974,1.0
818975124460335106,796183515998068736,-2.1281793,1.0
240812994,1074129612,-2.1294327,1.0
2853309155,20053279,-2.1149015,1.0
24745957,78445977,-2.1113644,1.0
26637348,115979444,-2.095973,1.0
164007407,1072467470,-2.1045325,1.0
796736612554117120,818975124460335106,-2.0954452,1.0
2914515430,2750127259,-2.1236398,1.0
242376736,18967498,-2.0951564,1.0
404132211,404132211,-2.0908694,1.0
935368364,888031054141022209,-2.1444097,1.0
1058051748,1065995022,-2.1483963,1.0
2847221717,2929491549,-2.1560142,1.0
171598736,150078976,-2.112206,1.0
22669526,164369297,-2.131719,1.0
776664410,55677432,-2.099188,1.0
2724095695,813286,-2.1217349,1.0
2863006655,22669526,-2.125977,1.0
816157667882373120,1222257180,-2.1172657,1.0
462143773,815733290955112448,-2.1415157,1.0
819744763020775425,137794015,-2.1316159,1.0
838462994,237299871,-2.1234822,1.0
462143773,242426145,-2.1381927,1.0
1209417007,2862577383,-2.172572,1.0
1339931490,816298918468259841,-2.1230767,1.0
90639372,1067541214671577093,-2.0995414,1.0
1058520120,109071031,-2.1082814,1.0
233693291,48117116,-2.1128297,1.0
2863210809,278145569,-2.1609569,1.0
237750442,111635980,-2.1764169,1.0
21346398,21346398,-2.1422675,1.0
1092979962,305216911,-2.1271005,1.0
950328072,2963445730,-2.1168995,1.0
2253968388,518644221,-2.1542811,1.0
233693291,240760644,-2.1556566,1.0
24195214,199325935,-2.1330605,1.0
2933760046,162069635,-2.129859,1.0
963480595,1058520120,-2.1416588,1.0
515822213,19394188,-2.098116,1.0
234822928,976969338,-2.1404767,1.0
248735463,1072467470,-2.093714,1.0
124224165,75364211,-2.1456354,1.0
20053279,16056306,-2.0946915,1.0
258900199,109071031,-2.0800676,1.0
2966765501,161411080,-2.1338797,1.0
240812994,7429102,-2.1280923,1.0
2966758114,1037321378,-2.1803336,1.0
2933760046,1060984272,-2.1528232,1.0
1060984272,1072467470,-2.0929077,1.0
235312723,15745368,-2.1729717,1.0
18695134,109287731,-2.0988069,1.0
2968007206,249348006,-2.125049,1.0
1060984272,258900199,-2.1373923,1.0
2955485182,818910970567344128,-2.1568449,1.0
19926675,1060370282,-2.1742992,1.0
2853309155,1209417007,-2.1606529,1.0
15394954,15394954,-2.133966,1.0
258900199,2433737761,-2.1024318,1.0
211420609,510516465,-2.0970428,1.0
1092979962,33563161,-2.1212025,1.0
1045110018,14135426,-2.1233296,1.0
171968009,1058520120,-2.120399,1.0
742735530287304704,17800215,-2.1596384,1.0
776664410,3122099613,-2.1277318,1.0
246769138,254082173,-2.1330633,1.0
817076257770835968,796183515998068736,-2.081585,1.0
168502762,813286,-2.0901582,1.0
109071031,18915145,-2.0970933,1.0
467823431,17896154,-2.0795372,1.0
235373000,15764644,-2.154509,1.0
819744763020775425,2930635215,-2.1138282,1.0
1209417007,1058345042,-2.1713152,1.0
252819323,88806753,-2.119524,1.0
56864092,247334603,-2.1175635,1.0
18915145,912608010,-2.1254995,1.0
231108733,581141508,-2.1429498,1.0
2852998461,1058717720,-2.1429632,1.0
851621377,1060487274,-2.1416583,1.0
2975091705,381152398,-2.1453235,1.0
2968451607,815733290955112448,-2.1388369,1.0
24745957,258900199,-2.1600728,1.0
14984637,2970279814,-2.1072044,1.0
2966570782,796736612554117120,-2.0944972,1.0
3044993235,162069635,-2.0821419,1.0
1531521632,234014087,-2.1018755,1.0
1069124515,819744763020775425,-2.1550963,1.0
248735463,404132211,-2.0899694,1.0
13491312,153486399,-2.1145587,1.0
19926675,960962340,-2.1753016,1.0
1339931490,467823431,-2.143226,1.0
742735530287304704,211420609,-2.1305554,1.0
216881337,234128524,-2.1361938,1.0
242376736,240760644,-2.1158836,1.0
460376288,18061669,-2.1422236,1.0
90639372,4797361833,-2.0898457,1.0
235312723,22509548,-2.2064693,1.0
404132211,18916432,-2.1167862,1.0
2953974395,935368364,-2.1341472,1.0
581141508,2970279814,-2.1079512,1.0
85396297,33576489,-2.0896087,1.0
1055685948,47724293,-2.0752895,1.0
2962868158,29501253,-2.1210089,1.0
235312723,2930635215,-2.1877837,1.0
2371339658,234014087,-2.1117768,1.0
240760644,935368364,-2.126796,1.0
137794015,164007407,-2.109956,1.0
2953974395,815966620300480514,-2.1191077,1.0
234022257,234022257,-2.135306,1.0
2962868158,3044993235,-2.113232,1.0
817076257770835968,245451804,-2.0747738,1.0
950328072,216881337,-2.1345985,1.0
37920978,237763317,-2.1505005,1.0
1077446982,816652616625168388,-2.1515136,1.0
819744763020775425,1055730738,-2.1360645,1.0
3686482216,510516465,-2.0949826,1.0
818975124460335106,18805303,-2.1157253,1.0
1209417007,1883356866,-2.1583862,1.0
235312723,29766367,-2.2182972,1.0
819744763020775425,237750442,-2.1388683,1.0
211420609,234822928,-2.1464648,1.0
18166778,2975091705,-2.1572106,1.0
37920978,17976923,-2.172459,1.0
2955485182,2856787757,-2.145616,1.0
2933760046,2863006655,-2.1536386,1.0
234022257,211420609,-2.114975,1.0
1060487274,2973870195,-2.131121,1.0
18166778,956283913835614208,-2.124741,1.0
432676344,1339931490,-2.1061056,1.0
153944899,3044993235,-2.0976558,1.0
18061669,78403308,-2.1299205,1.0
816298918468259841,942156122,-2.099972,1.0
2863006655,138770045,-2.1142442,1.0
249787913,16160352,-2.1037443,1.0
314205957,18696134,-2.1277912,1.0
37920978,74198348,-2.1382315,1.0
823552974253342721,247334603,-2.108377,1.0
1209417007,234022257,-2.1722505,1.0
23725826,210926192,-2.1569319,1.0
816282029276938240,811313565760163844,-2.0895672,1.0
36686040,1289319271,-2.075019,1.0
