twitter_id_from,twitter_id_to,score,label
17494010,17494010,-0.08873379,1.0
518644221,33977070,1.9390638,1.0
2847221717,1074101017,-0.3930002,1.0
1058717720,2433737761,-1.0868852,1.0
13218102,13218102,-0.42492253,1.0
460376288,72198806,-0.6216422,1.0
1068499286,1222257180,-0.7804052,1.0
221792092,221792092,-1.0688434,1.0
26637348,92186819,0.023728311,1.0
33977070,74198348,-0.94191045,1.0
1072467470,1072467470,-1.2749968,1.0
20053279,17896154,0.2838003,1.0
834069080,834069080,-1.957871,1.0
36948268,36948268,-1.584254,1.0
818460870573441028,25073877,1.7749712,1.0
60828944,60828944,-2.753237,1.0
2968451607,25073877,1.6502082,1.0
1089334250,2253968388,2.4002478,1.0
4797361833,14135426,-1.4673591,1.0
216881337,55677432,-1.0069427,1.0
17544524,15764644,-2.789304,1.0
69086398,15428227,-1.5081384,1.0
22669526,2433737761,-1.5138204,1.0
233693291,1209417007,2.205358,1.0
233949261,1209417007,3.1762207,1.0
22195441,19394188,-1.0397468,1.0
69086398,69086398,-2.2728608,1.0
111635980,1531521632,-0.022562206,1.0
13491312,13491312,-0.987441,1.0
234763384,234763384,-2.5060802,1.0
155669457,1045110018,0.14502901,1.0
18632666,171598736,-1.77758,1.0
2863210809,2975091705,-0.19266087,1.0
2863210809,2863210809,0.41166764,1.0
312134473,155669457,-0.27085394,1.0
1222257180,1410590874,-0.49924856,1.0
309070309,1055907624,2.3393176,1.0
26051676,26051676,-2.9246824,1.0
246341769,233842454,0.031621993,1.0
47724293,47724293,-0.833659,1.0
818948638890217473,818948638890217473,-2.4449217,1.0
234822928,234812598,0.67481226,1.0
236511574,236511574,-1.7480419,1.0
22509548,219429281,0.043976963,1.0
1065995022,1065995022,-1.5535526,1.0
26637348,855240223432769538,-0.95448595,1.0
1092979962,1092979962,-0.49327785,1.0
22545491,22545491,-3.0450811,1.0
27676828,27676828,0.6627521,1.0
55677432,968650362,1.3342794,1.0
124224165,252819642,1.9625835,1.0
235312723,2973870195,1.1191461,1.0
18137749,25073877,2.38769,1.0
14984637,14984637,-0.8356493,1.0
242376736,110545675,0.41480625,1.0
432895323,432895323,-1.4949172,1.0
2970279814,813286,-0.30561465,1.0
212262370,1065995022,-2.260656,1.0
183062944,183062944,-1.9298618,1.0
1849261916,1849261916,-1.588918,1.0
225921757,193794406,0.4716099,1.0
92186819,25073877,2.4061835,1.0
2929491549,2929491549,0.081641376,1.0
239949176,25073877,0.834071,1.0
584012853,2976606250,0.6892311,1.0
234469322,234469322,0.047998607,1.0
14904437,233842454,-1.9988616,1.0
819980276570976256,78403308,1.5589201,1.0
18268819,334894942,-3.368036,1.0
1410590874,250188760,-0.1853379,1.0
246769138,246769138,-2.0218399,1.0
235373000,234014087,-0.5603065,1.0
92186819,171968009,-1.820312,1.0
533324996,72198806,-1.4891386,1.0
19726613,1068481578,-1.5502148,1.0
235312723,814103950404239360,0.30798668,1.0
334894942,150078976,2.417113,1.0
281540744,281540744,-2.9011571,1.0
168502762,231510077,-0.46873385,1.0
237750442,150078976,1.7045767,1.0
242555999,811313565760163844,-0.59349924,1.0
15361570,2862577383,-2.9514244,1.0
10615232,10615232,-1.7228487,1.0
93965901,93965901,-3.945338,1.0
2853309155,109579534,-1.1450949,1.0
432895323,555474658,-1.6506159,1.0
23712174,23712174,-1.1404145,1.0
76649729,262756641,-1.5918441,1.0
816181091673448448,816181091673448448,-1.866466,1.0
92186819,72198806,-0.07692367,1.0
171968009,171968009,-2.6785758,1.0
24913074,24913074,-1.200171,1.0
171598736,171598736,-1.7869682,1.0
254082173,217543151,0.52445406,1.0
1055685948,33537967,-0.18092424,1.0
814179031956488192,78445977,-0.6630849,1.0
262756641,18916432,1.8256516,1.0
231108733,231108733,-1.7297654,1.0
38970940,38970940,1.619765,1.0
815241612154417152,815241612154417152,-1.5651243,1.0
33537967,16160352,-0.6774469,1.0
486694111,486694111,0.041296065,1.0
234014087,2433737761,-1.7152483,1.0
788075094711107584,788075094711107584,-3.028303,1.0
1240107944,1089334250,0.9775359,1.0
2966758114,2966758114,-3.5057132,1.0
58928690,1092979962,-0.9512109,1.0
232992031,232992031,-2.188556,1.0
2975091705,78403308,0.27932888,1.0
827258161841135623,233949261,0.046462834,1.0
806906355214852096,426028646,-3.2086582,1.0
29766367,229197216,-1.6759148,1.0
309070309,248495200,1.570993,1.0
193872188,193872188,-4.220512,1.0
235190657,942156122,-2.8623588,1.0
249348006,249348006,-2.8817565,1.0
22523087,22523087,-4.2171335,1.0
2852998461,2852998461,-1.2560344,1.0
47747074,942156122,-0.051686525,1.0
15394954,15394954,0.2163319,1.0
334894942,1499993378,-1.7435858,1.0
950783972,2914515430,-2.7253227,1.0
153486399,248735463,-1.0977554,1.0
133832049,133832049,-2.0125477,1.0
2327941633,22545491,-2.3120344,1.0
234374703,172858784,0.43075898,1.0
15764644,18916432,-0.5045441,1.0
110755266,110755266,-3.5546873,1.0
926446070812602371,926446070812602371,-4.0644183,1.0
52503751,385429543,-4.133434,1.0
17544524,17896154,-0.48262054,1.0
237312687,818910970567344128,-0.069087684,1.0
262756641,1480852568,1.2549539,1.0
1092979962,18916432,-0.044306815,1.0
47747074,150078976,0.48786676,1.0
2966205003,2914515430,3.2716901,1.0
20552026,25073877,1.0364459,1.0
237750442,518644221,0.46785933,1.0
133832049,111635980,-1.0388994,1.0
246341769,246341769,-0.61490566,1.0
