user_id	mentioned	count
1068499286	258900199	1
1068499286	1531521632	2
1068499286	2962868158	2
1068499286	1077121945	1
1068499286	117501995	8
1068499286	1068499286	9
1068499286	816181091673448448	1
1068499286	20552026	7
1068499286	164369297	1
1068499286	25073877	20
1068499286	29501253	2
1068499286	1058917562	12
1068499286	1071840474	2
1068499286	988573326376427520	1
1068499286	806906355214852096	1
1068499286	267854863	1
1068499286	58928690	5
1068499286	18916432	3
1068499286	815733290955112448	1
1068499286	1045110018	3
1068499286	970207298	2
1068499286	3044993235	2
1068499286	14275291	2
1068499286	518644221	1
1068499286	242376736	1
1068499286	29450962	4
1068499286	613725908	1
1068499286	239949176	1
1068499286	939091	1
1068499286	137794015	1
1068499286	1058256326	1
1068499286	1249982359	1
1068499286	17494010	1
1068499286	799764016885329921	1
1068499286	813286	2
1068499286	161791703	1
1068499286	19394188	1
1068499286	16160352	1
1068499286	2930635215	3
1068499286	827258161841135623	1
1068499286	826065858548133888	1
1068499286	821446682860732416	1
1068499286	1209417007	3
1068499286	293131808	4
1068499286	76649729	1
1068499286	2932617195	1
1068499286	22669526	4
1068499286	796183515998068736	1
1068499286	138770045	1
1068499286	404132211	4
1068499286	252249233	1
1068499286	995193054	2
1068499286	242926427	1
1068499286	17976923	1
1068499286	1055685948	1
1068499286	156333623	1
1068499286	776664410	1
1068499286	18137749	2
1068499286	1530850933	1
161743731	25073877	2
161743731	21111098	1
161743731	17976923	7
161743731	18916432	2
161743731	1209417007	2
161743731	37094727	1
161743731	161743731	3
161743731	2863006655	1
161743731	21269970	1
161743731	33537967	1
161743731	78445977	1
161743731	140519774	1
161743731	19394188	1
161743731	13491312	1
161743731	237312687	1
161743731	295685416	3
161743731	13218102	15
161743731	15856366	18
161743731	24735461	44
161743731	19929362	19
161743731	19926675	38
161743731	813286	1
161743731	550401754	1
161743731	124224165	1
161743731	18030431	46
161743731	18566912	49
161743731	23976316	41
161743731	74198348	44
161743731	22055226	22
161743731	18906561	2
161743731	17896154	6
161743731	278145569	1
161743731	16256269	1
161743731	221792092	3
161743731	234022257	1
161743731	15751083	7
161743731	114388293	1
161743731	37920978	1
161743731	26051676	1
161743731	14904437	3
161743731	33977070	1
22545491	818910970567344128	5
22545491	22545491	20
22545491	2750127259	1
22545491	1209417007	6
22545491	193872188	1
22545491	161743731	1
22545491	796183515998068736	1
22545491	842072478834909184	1
22545491	827258161841135623	7
22545491	25073877	4
22545491	1069124515	2
22545491	22509548	3
22545491	17976923	2
22545491	826065858548133888	1
22545491	888031054141022209	1
22545491	161411080	2
22545491	74198348	1
22545491	23124635	1
22545491	50152441	1
22545491	935148134505828353	1
22545491	18916432	12
22545491	303861808	1
22545491	262756641	1
22545491	15856366	3
22545491	816111677917851649	1
22545491	19926675	1
22545491	829782369670410240	1
22545491	236279233	1
22545491	1074412920	2
22545491	193732179	1
22545491	124224165	1
22545491	37920978	1
22545491	968650362	1
22545491	1305596696	2
22545491	550401754	2
22545491	2327941633	1
22545491	15428227	1
22545491	2253968388	1
22545491	18915145	1
22545491	246769138	1
22545491	18906561	1
1480852568	262756641	7
1480852568	26637348	1
1480852568	1480852568	49
1480852568	88784440	1
1480852568	33537967	1
1480852568	10615232	3
1480852568	2853309155	1
1480852568	17494010	2
1480852568	21111098	1
1480852568	217543151	3
1480852568	19394188	2
1480852568	25073877	1
1480852568	4797361833	1
1480852568	216776631	1
1480852568	18805303	1
1480852568	432895323	1
1480852568	18916432	1
171968009	16056306	1
171968009	827258161841135623	5
171968009	970207298	15
171968009	247334603	6
171968009	10615232	3
171968009	216881337	3
171968009	16160352	3
171968009	818910970567344128	2
171968009	92186819	2
171968009	33537967	30
171968009	1055685948	8
171968009	836305915452272641	5
171968009	25073877	12
171968009	842072478834909184	2
171968009	1209417007	2
171968009	1068481578	2
171968009	811313565760163844	6
171968009	250188760	15
171968009	18137749	3
171968009	278124059	9
171968009	60828944	7
171968009	19394188	1
171968009	117501995	3
171968009	515822213	3
171968009	21406834	8
171968009	171968009	5
171968009	18061669	2
171968009	242836537	9
171968009	15808765	7
171968009	150078976	4
171968009	262756641	2
171968009	14135426	7
171968009	171598736	6
171968009	1074518754	10
171968009	291756142	1
171968009	293131808	2
171968009	1249982359	6
171968009	18916432	7
171968009	18915145	2
171968009	242555999	5
171968009	486694111	4
171968009	72198806	4
171968009	946549322	2
171968009	29201047	3
171968009	5558312	1
171968009	193794406	1
171968009	13218102	1
171968009	24745957	2
171968009	1058520120	1
171968009	986781648	2
171968009	17494010	3
171968009	1051127714	1
171968009	18906561	1
171968009	78403308	1
171968009	63169388	3
171968009	15007149	3
171968009	1530850933	2
171968009	516880804	1
171968009	29450962	1
811313565760163844	249787913	1
811313565760163844	811313565760163844	28
811313565760163844	29201047	11
811313565760163844	968650362	1
811313565760163844	293131808	8
811313565760163844	13218102	8
811313565760163844	18915145	3
811313565760163844	18695134	13
811313565760163844	970207298	20
811313565760163844	18061669	5
811313565760163844	15745368	3
811313565760163844	250188760	3
811313565760163844	47747074	2
811313565760163844	236511574	1
811313565760163844	60828944	4
811313565760163844	946549322	3
811313565760163844	25073877	242
811313565760163844	460376288	2
811313565760163844	1249982359	41
811313565760163844	171598736	2
811313565760163844	836305915452272641	2
811313565760163844	935148134505828353	15
811313565760163844	234374703	2
811313565760163844	296361085	2
811313565760163844	88784440	4
811313565760163844	33537967	6
811313565760163844	150078976	13
811313565760163844	515822213	2
811313565760163844	10615232	1
811313565760163844	2856787757	4
811313565760163844	18632666	2
811313565760163844	19726613	10
811313565760163844	235217558	4
811313565760163844	15324851	2
811313565760163844	1074480192	1
811313565760163844	266133081	10
811313565760163844	172858784	2
811313565760163844	193794406	3
811313565760163844	18916432	13
811313565760163844	813286	1
811313565760163844	16056306	4
811313565760163844	988573326376427520	1
811313565760163844	16160352	5
811313565760163844	217543151	1
811313565760163844	247334603	6
811313565760163844	888031054141022209	2
811313565760163844	1058520120	6
811313565760163844	117501995	2
811313565760163844	262756641	2
811313565760163844	78403308	1
811313565760163844	1074518754	8
811313565760163844	816683274076614656	4
811313565760163844	21406834	7
811313565760163844	18137749	6
811313565760163844	600463589	1
811313565760163844	827258161841135623	5
811313565760163844	19394188	3
811313565760163844	828613457020870657	5
811313565760163844	72198806	4
811313565760163844	11651202	1
811313565760163844	939091	2
811313565760163844	17494010	4
811313565760163844	92186819	3
811313565760163844	817076257770835968	2
811313565760163844	21157904	5
811313565760163844	278124059	3
811313565760163844	826065858548133888	3
811313565760163844	14275291	1
811313565760163844	242836537	1
811313565760163844	242555999	5
811313565760163844	36686040	1
811313565760163844	20597460	2
811313565760163844	344972339	1
811313565760163844	941080085121175552	1
811313565760163844	63169388	1
811313565760163844	815985039485837312	3
811313565760163844	15808765	1
811313565760163844	799764016885329921	2
811313565760163844	109071031	2
811313565760163844	432895323	2
811313565760163844	171968009	2
811313565760163844	216881337	1
811313565760163844	818910970567344128	1
811313565760163844	829782369670410240	1
811313565760163844	233737858	1
811313565760163844	30354991	1
309070309	334894942	4
309070309	25073877	47
309070309	1074518754	6
309070309	233737858	9
309070309	467823431	5
309070309	22669526	1
309070309	815733290955112448	2
309070309	248735463	4
309070309	939091	4
309070309	487297085	1
309070309	216776631	3
309070309	19726613	1
309070309	18916432	29
309070309	14135426	5
309070309	309070309	24
309070309	970207298	3
309070309	21406834	1
309070309	29501253	2
309070309	1092979962	1
309070309	234022257	3
309070309	855240223432769538	2
309070309	242426145	2
309070309	851621377	1
309070309	72198806	1
309070309	1045110018	1
309070309	13491312	2
309070309	17494010	1
309070309	234014087	2
309070309	818910970567344128	2
309070309	138770045	1
309070309	2970279814	1
309070309	29450962	1
309070309	1339835893	7
309070309	172858784	2
309070309	24735461	1
309070309	409486555	4
309070309	813286	29
309070309	112740986	1
309070309	20747881	3
309070309	15361570	1
16256269	787373558	1
16256269	2371339658	2
16256269	225921757	2
16256269	291756142	1
16256269	233737858	1
16256269	432771620	2
16256269	210926192	2
16256269	18916432	10
16256269	18696134	1
16256269	26424123	1
16256269	221792092	1
16256269	1209417007	4
16256269	19926675	1
16256269	161791703	1
16256269	37920978	3
16256269	242376736	1
16256269	237750442	1
16256269	789244177	1
16256269	2975091705	1
16256269	3122099613	1
16256269	217543151	1
16256269	24735461	2
16256269	16256269	2
16256269	935033864	3
16256269	963480595	2
16256269	813286	8
16256269	78403308	1
16256269	293131808	1
16256269	950328072	2
16256269	27676828	2
16256269	237348797	3
16256269	15007149	1
16256269	52503751	4
16256269	242926427	2
16256269	237312687	1
16256269	74198348	2
16256269	32010840	1
16256269	23976316	2
16256269	17544524	2
16256269	211420609	2
16256269	1074101017	2
16256269	234812598	4
16256269	235312723	3
16256269	1908143071	1
16256269	1072008757	1
16256269	976969338	1
16256269	1060370282	1
16256269	1155212191	1
16256269	1058345042	1
16256269	1058051748	1
16256269	1077446982	1
16256269	1058256326	1
16256269	1058460818	1
16256269	518644221	1
16256269	993153006	1
16256269	1065995022	1
16256269	1089334250	1
16256269	1051446626	1
16256269	11651202	1
16256269	1069124515	1
16256269	1074412920	1
16256269	1071900114	1
16256269	1060487274	1
16256269	110545675	2
16256269	17976923	6
16256269	50152441	1
16256269	22509548	9
16256269	18277655	2
16256269	15856366	1
16256269	550401754	1
16256269	124224165	1
16256269	14275291	2
16256269	114388293	1
16256269	237862972	1
16256269	18967498	2
16256269	234469322	1
16256269	33977070	1
16256269	23970171	1
16256269	15600527	2
16256269	299883942	1
16256269	26778110	2
16256269	219429281	1
16256269	22055226	1
16256269	20467163	1
16256269	19407835	2
16256269	295685416	1
16256269	233693291	1
16256269	161743731	1
16256269	237763317	1
16256269	278145569	1
16256269	88784440	1
16256269	18166778	2
16256269	15751083	1
16256269	15394954	1
109579534	109579534	47
109579534	482450423	9
109579534	19726613	1
109579534	14275291	7
109579534	432895323	1
109579534	818910970567344128	1
109579534	15764644	1
109579534	266719387	1
109579534	237348797	4
109579534	2853309155	10
109579534	98471035	3
109579534	2750127259	1
109579534	18277655	1
109579534	17494010	1
109579534	1209417007	3
109579534	242926427	3
109579534	17976923	2
109579534	1074101017	2
109579534	1051446626	2
109579534	114388293	1
109579534	2963445730	6
109579534	27676828	2
109579534	2966765501	3
109579534	343171266	1
109579534	234022257	1
109579534	252819642	2
109579534	37094727	1
109579534	18916432	5
109579534	193794406	1
109579534	19394188	1
109579534	25073877	2
109579534	1410590874	3
109579534	823552974253342721	1
109579534	34715823	2
109579534	242376736	2
109579534	217543151	1
109579534	815966620300480514	2
109579534	404132211	1
109579534	211420609	1
109579534	2970462034	1
109579534	314205957	1
109579534	842072478834909184	1
109579534	815931811348017152	1
109579534	2930635215	1
109579534	558769636	1
109579534	1089334250	1
109579534	1055907624	1
109579534	26637348	1
19139963	25073877	15
19139963	246769138	4
19139963	48117116	2
19139963	22509548	10
19139963	30354991	5
19139963	432895323	1
19139963	2327941633	8
19139963	968650362	1
19139963	2856787757	1
19139963	78403308	1
19139963	1339835893	14
19139963	216776631	1
19139963	18916432	2
19139963	50152441	2
19139963	22545491	7
19139963	74198348	3
19139963	19407835	1
19139963	19394188	1
19139963	19318314	1
19926675	25073877	74
19926675	15764644	16
19926675	842072478834909184	2
19926675	10615232	1
19926675	1209417007	21
19926675	74198348	4
19926675	18916432	30
19926675	296245061	1
19926675	18566912	1
19926675	1074480192	7
19926675	13218102	1
19926675	19926675	12
19926675	888031054141022209	1
19926675	26424123	1
19926675	14904437	1
19926675	1058051748	1
19926675	2929491549	1
19926675	15600527	5
19926675	52503751	1
19926675	988573326376427520	1
19926675	63169388	1
19926675	17494010	1
19926675	818910970567344128	5
19926675	262756641	1
