user_id	reply_to	count
12	13	6
12	12	177
12	5763262	62
12	14085740	6
12	1186	1
12	154016912	3
12	93017945	9
12	14216123	1
12	1947265657	1
12	1068481578	1
12	33235771	1
12	18511844	1
12	16076032	1
12	950531	2
12	21406834	1
12	296361085	1
12	248735463	1
12	878247600096509952	1
12	33537967	1
12	7429102	1
12	700784500658208768	1
12	18766459	1
12	964032914626359296	1
12	65284273	1
12	29417304	2
12	165944767	1
12	279238668	1
12	20263710	1
12	309907190	1
13	10350	2
13	12	16
13	13	36
13	279238668	1
13	93017945	1
13	14216054	1
13	5763262	1
13	23330554	1
13	16906137	1
13	15255914	1
13	14085740	1
16252960	26574283	4
16252960	14216123	2
16252960	275106837	3
16252960	22187085	3
16252960	705706292	1
16252960	25053299	1
16252960	1055907624	1
16252960	4091551984	1
16252960	16252960	2
16252960	14780915	4
16252960	304679484	1
16252960	1754641	8
16252960	95431448	7
16252960	115485051	1
16252960	713839291210792960	2
16252960	1305596696	1
16252960	74508260	2
16252960	27493883	1
16252960	95270375	1
16252960	33750798	1
16252960	33537967	1
16252960	30354991	3
16252960	16868756	1
16252960	466519303	1
16252960	14247236	2
16252960	14800270	1
16252960	18382184	1
16252960	334385278	1
16252960	59524045	1
16252960	120233868	1
16252960	19877186	1
16252960	30364057	1
16252960	2316383071	1
17825871	17825871	95
17825871	3497941	1
17825871	16960789	1
17825871	20182089	5
17825871	222204014	1
17825871	19489239	2
17825871	215952307	1
17825871	15391102	1
17825871	21148783	1
17825871	249469549	1
17825871	20480549	1
17825871	18978610	1
17825871	2329066872	1
17825871	62513246	1
17825871	16158150	1
426770539	29546945	1
426770539	426770539	4
304087150	304087150	17
304087150	159655293	1
304087150	17379685	1
304087150	78523300	1
304087150	16594953	1
304087150	18268819	1
304087150	25073877	15
304087150	1339835893	1
304087150	1081101972	1
368050288	368050288	161
368050288	14639216	4
368050288	41488991	1
368050288	14810569	2
368050288	48120914	1
368050288	33989630	1
368050288	103927659	2
368050288	22313347	1
