name	twitter_id	twitter_name	party
Watson Coleman, Bonnie	2968451607	RepBonnie	D
Weber, Randy K., Sr.	1058051748	TXRandy14	R
Webster, Daniel	281540744	RepWebster	R
Welch, Peter	1410590874	PeterWelch	D
Wenstrup, Brad R.	518644221	RepBradWenstrup	R
Westerman, Bruce	2852998461	RepWesterman	R
Whitehouse, Sheldon	242555999	SenWhitehouse	D
Wicker, Roger F.	264219447	SenatorWicker	R
Wild, Susan	533324996	wildforcongress	D
Williams, Roger	1077446982	RepRWilliams	R
Wilson, Frederica S.	234014087	RepWilson	D
Wilson, Joe	254082173	RepJoeWilson	R
Wittman, Robert J.	46184745	ReElectWittman	R
Womack, Steve	234469322	rep_stevewomack	R
Woodall, Rob	2382685057	RepRobWoodall	R
Wyden, Ron	250188760	RonWyden	D
Yarmuth, John A.	234763384	yarmuth	D
Yoder, Kevin	252819642	kevinyoder	R
Yoho, Ted S.	1071900114	RepTedYoho	R
Young, David	314205957	RepDavidYoung	R
Young, Don	802612183209111552	ilovesaucegod	R
Young, Todd C.	234128524	SenToddYoung	R
Zeldin, Lee M.	2750127259	RepLeeZeldin	R
Zinke, Ryan K.	827258161841135623	SecretaryZinke	R
Donald J. Trump	25073877	realDonaldTrump	R
Barack H. Obama	813286	BarackObama	D
Hillary Clinton	1339835893	HillaryClinton	D
Michelle Obama	409486555	MichelleObama	D
